id_venta,fecha,id_cliente,id_vendedor,id_producto,tipo_producto,cantidad,precio_unitario,importe
1,12/09/2025,2334,5,154,gafas,2,139.9,279.8
2,24/04/2026,2174,119,180,gafas,3,84.9,254.7
3,24/04/2026,339,65,58,gafas,3,29.9,89.7
4,3/03/2025,1896,115,23,gafas,3,59.9,179.7
5,29/03/2025,2259,67,94,gafas,3,79.9,239.7
6,20/07/2025,333,59,147,gafas,1,99.9,99.9
7,3/06/2025,2961,84,55,gafas,2,29.9,59.8
8,12/04/2026,875,53,67,gafas,3,89.9,269.7
9,22/02/2026,2000,82,98,gafas,3,84.9,254.7
10,24/04/2026,361,87,188,gafas,3,89.9,269.7
11,25/05/2025,2762,22,75,gafas,1,99.9,99.9
12,20/06/2025,530,119,1026,lentillas,2,16.5,33
13,24/04/2026,52,52,170,gafas,2,84.9,169.8
14,24/08/2025,1982,64,1036,lentillas,3,16.5,49.5
15,1/06/2025,2672,69,64,gafas,1,89.9,89.9
16,3/12/2025,53,53,1030,lentillas,2,44,88
17,30/07/2025,1874,93,1035,lentillas,1,16.5,16.5
18,26/03/2025,1869,88,157,gafas,3,139.9,419.7
19,7/03/2025,2852,112,51,gafas,3,59.9,179.7
20,27/03/2025,1607,100,13,gafas,3,49.9,149.7
21,11/11/2025,2872,132,132,gafas,2,99.9,199.8
22,5/08/2025,1610,103,165,gafas,2,84.9,169.8
23,24/08/2025,547,136,1010,lentillas,1,6,6
24,2/09/2025,1321,88,146,gafas,3,79.9,239.7
25,20/05/2025,1993,75,165,gafas,3,84.9,254.7
26,20/04/2025,1692,48,196,gafas,3,119.9,359.7
27,9/01/2026,2575,109,113,gafas,1,64.9,64.9
28,16/10/2025,28,28,81,gafas,1,79.9,79.9
29,12/12/2025,542,131,160,gafas,1,89.9,89.9
30,7/08/2025,1153,57,1004,lentillas,2,54.5,109
31,25/12/2025,1063,104,1048,lentillas,1,19.9,19.9
32,3/04/2026,2982,105,127,gafas,1,79.9,79.9
33,7/01/2025,2761,21,1042,lentillas,3,16.5,49.5
34,25/02/2026,2734,131,13,gafas,1,49.9,49.9
35,5/01/2025,216,79,197,gafas,2,119.9,239.8
36,20/11/2025,269,132,51,gafas,2,59.9,119.8
37,24/04/2026,143,6,25,gafas,2,49.9,99.8
38,21/01/2026,734,49,66,gafas,3,89.9,269.7
39,8/12/2025,2744,4,118,gafas,3,49.9,149.7
40,3/03/2026,2056,1,190,gafas,3,69.9,209.7
41,26/05/2025,770,85,145,gafas,3,79.9,239.7
42,20/01/2025,2056,1,100,gafas,1,64.9,64.9
43,2/07/2025,1731,87,1017,lentillas,3,16.5,49.5
44,22/05/2025,1690,46,185,gafas,2,64.9,129.8
45,11/01/2025,1270,37,105,gafas,3,84.9,254.7
46,8/09/2025,1228,132,1012,lentillas,3,5,15
47,30/01/2025,211,74,1042,lentillas,1,16.5,16.5
48,6/12/2025,588,40,1034,lentillas,1,34,34
49,18/06/2025,1689,45,153,gafas,3,99.9,299.7
50,22/04/2026,1602,95,198,gafas,3,119.9,359.7
51,24/04/2026,2188,133,1051,lentillas,2,39.5,79
52,7/09/2025,1418,48,160,gafas,1,89.9,89.9
53,1/02/2025,1018,59,133,gafas,2,99.9,199.8
54,16/12/2025,2881,4,144,gafas,2,79.9,159.8
55,26/09/2025,1477,107,63,gafas,3,89.9,269.7
56,21/10/2025,222,85,5,gafas,2,89.9,179.8
57,28/01/2025,1276,43,79,gafas,2,79.9,159.8
58,25/03/2025,841,19,209,gafas,3,69.9,209.7
59,1/12/2025,2213,21,94,gafas,1,79.9,79.9
60,11/06/2025,83,83,98,gafas,1,84.9,84.9
61,26/05/2025,1500,130,14,gafas,1,49.9,49.9
62,28/11/2025,31,31,49,gafas,3,49.9,149.7
63,13/03/2026,1209,113,188,gafas,3,89.9,269.7
64,16/02/2025,1746,102,75,gafas,3,99.9,299.7
65,13/07/2025,2346,17,1024,lentillas,2,25.5,51
66,15/11/2025,2878,1,113,gafas,3,64.9,194.7
67,2/06/2025,812,127,211,gafas,3,79.9,239.7
68,30/11/2025,142,5,134,gafas,3,99.9,299.7
69,16/10/2025,206,69,131,gafas,1,89.9,89.9
70,12/08/2025,855,33,99,gafas,2,84.9,169.8
71,24/10/2025,410,136,1017,lentillas,3,16.5,49.5
72,22/03/2026,1222,126,167,gafas,3,84.9,254.7
73,3/01/2026,2734,131,82,gafas,1,79.9,79.9
